ABCONFET;Halfgroenblijvende heester met gebogen takken. Vari‘teit met mooi bont blad. Geschikt voor toepassing in een zonnige border. Kan ook in potten worden toegepast, maar dan wel best een winterbescherming geven. Snoeien na de bloei indien nodig, eventueel droge takken na de winter terugknippen.
ABGRANDI;Halfgroenblijvende heester met gebogen takken. Fraai donkergroene blad dat in de herfst mooi rood tot oranje kleurt. Talrijke witte bloemen met een roze zweem van juli tot de herfst. Geschikt voor toepassing in een zonnige border. Kan ook in potten worden toegepast, maar dan wel best een winterbescherming geven. Snoeien na de bloei indien nodig, eventueel droge takken na de winter terugknippen.
ACARGUTA;Deze smakelijke, haarloze mini-kiwiÕs kunnen gewoon met schil gegeten worden, en zitten tjokvol vitamine C en zogenaamde polyfenolen. Dit zijn stoffen die vrije radicalen in het lichaam helpen afbreken, en dusdanig een preventieve werking tegen kanker hebben. Kiwibessen zijn er in verschillende soorten, sommige soorten zijn tweehuizig en hebben dus een (mannelijke) bestuiver nodig. Net als de gewone kiwi is het een slingerplant die je best aan een zonnige muur of tegen een draad of hekwerk kan laten groeien. Soort: zie label,
ACCAMPES;Inheemse struik, verdraagt goed snoei en is uitermate geschikt als haagplant
ACCNANUM;Bolvormige dwergvorm van de gewone veldesdoorn. Geen al te snelle groeier, de bol kan makkelijk klein gehouden worden. Eventueel wat licht bijsnoeien. Blad is iets kleiner dan dat van de soort. 
ACPATROP;Mooie, roodbladige esdoorn met opgaande groeiwijze. Langzaam groeiend, na 10 jaar is de plant ca. 3-4 meter hoog. Verkiest een plaatsje in de (half)schaduw en een lichtzure grond (turf of heidegrond toevoegen). Ideaal als solitair of in combinatie met groe
ACPBLOOD;Langzaam groeiende esdoorn met donkerrood blad in de zomer. Zeer mooi als solitair of in combinatie met groene planten, een witte muur,... De hoogte na tien jaar is 2-3 meter. Verkiest een plaatsje in de (half)schaduw en een lichtzure grond (turf of heideg
ACPDGARN;Langzaam groeiende Japanse esdoorn die uiteindelijk een hoogte bereikt van ca. 150 cm. Heeft een zeer fijn ingesneden wijnrood blad. Staat graag op een humeuze, lichtzure bodem op een plaats in de zon of halfschaduw.
ACPDISSE;Langzaam groeiende Japanse esdoorn die uiteindelijk een hoogte bereikt van 120 tot 150 cm. Het blad is zeer fijn ingesneden en verkleurt met een prachtige oranje herfstkleur. Staat graag op een humeuze, lichtzure bodem op een plaats in de zon of halfschaduw.
ACPDRUMM;Bontbladige variant van de Noorse Esdoorn. De bladeren zijn groen met een opvallende witte rand.  Scheuten met volledig groene bladeren tijdig wegsnoeien. Langzame groeier, ook geschikt voor kleinere tuinen. 
